date,region,total,2024,2529,3034,3539
2020,incheon,390818.5,90662,101703,89150,109303.5
2020,gwangju,191886.5,51629.5,47672.5,40022,52562.5
2020,daejeon,194678.5,50624,49834,42368,51852.5
2020,ulsan,137326.5,32107,32228,31070.5,41921
2020,gyeonggi,1768489.5,407563,436129,409202.5,515595
2020,gangwon,158424.5,42017.5,36843.5,34569.5,44994
2020,chungcheongbukdo,180796.5,45564.5,42833.5,40634,51764.5
2020,chungcheongnamdo,235672.5,55836.5,53676,55142.5,71017.5
2020,jeonnabukdo,190752.5,52466,45175.5,40135.5,52975.5
2020,jeonnanamdo,179415.5,48387.5,41368.5,38515,51144.5
2020,gyeoungsangbukdo,264515,65676.5,60019,59064.5,79755
2020,gyeoungsangnamdo,365645,88111.5,82096,81354.5,114083
2020,jeju,79828,19594.5,19169.5,17125,23939
2021,seoul,1462661.5,321343,419394.5,363209.5,358714.5
2021,busan,402457,96863,105806.5,92809,106978.5
2021,daegu,284363,73080.5,73648,62426,75208.5
2021,incheon,382382.5,87362.5,101533,90286.5,103200.5
2021,gwangju,188524.5,50314,48854.5,40143,49213
2021,daejeon,191160.5,49545.5,50558,42597,48460
2021,ulsan,130694,30047.5,31448.5,30569.5,38628.5
2021,gyeonggi,1765003,404853.5,444911,419488.5,495750
2021,gangwon,154875,40377.5,37060,34863,42574.5
2021,chungcheongbukdo,176537.5,43615.5,43358.5,40340.5,49223
2021,chungcheongnamdo,228673.5,54174,53282,54025,67192.5
2021,jeonnabukdo,184982,50565.5,45180,39488.5,49748
2021,jeonnanamdo,172546.5,45706.5,41030,37594.5,48215.5
2021,gyeoungsangbukdo,253220,62364.5,58758,57671.5,74426
2021,gyeoungsangnamdo,348529,83287.5,80371.5,79401,105469
2021,jeju,78840.5,18988.5,19490,17470.5,22891.5
2022,seoul,1439908,310133.5,418041,371547,340186.5
2022,busan,389674,91619.5,103707.5,95019,99328
2022,daegu,274079.5,68538,72545.5,63874,69122
2022,incheon,376389,82904,100326.5,94826,98332.5
2022,gwangju,183792,47827,48872,41343,45750
2022,daejeon,187541,47469,50718.5,44043,45310.5
2022,ulsan,123987,27578.5,30337.5,30662,35409
2022,gyeonggi,1739386,389924.5,443186,434938.5,471337
2022,gangwon,151329,38301,37132.5,35924.5,39971
2022,chungcheongbukdo,171587.5,41125,43490.5,40723.5,46248.5
2022,chungcheongnamdo,221989,51907,52510,54106.5,63465.5
2022,jeonnabukdo,178683.5,47756,44754,39928,46245.5
2022,jeonnanamdo,166300.5,42706,40726,37807.5,45061
2022,gyeoungsangbukdo,242252,58488.5,57372,57497,68894.5
2022,gyeoungsangnamdo,330318,76987,77724,78918,96689
2022,jeju,76909.5,17833,19371.5,18159.5,21545.5
