"시점","행정구역(시군구)별","성별",계,65 - 69세,70 - 74세,75 - 79세,80세 이상,80 - 84세,85세 이상,85 - 89세,90 - 94세,95 - 99세,100세 이상
"2014","울산광역시","계",1154816.5,34063,26546,17076,15861,9629,6232,4452.5,1488,255,36.5
"2014","세종특별자치시","계",138270.5,5044.5,5139,4186.5,4286.5,2594,1692.5,1183.5,412.5,84,12.5
"2014","경기도","계",12196188.5,397360.5,339628,245828,226807,135915.5,90891.5,63071.5,22724.5,4398,697.5
"2014","강원도","계",1529766,71898,73027,54542,50311,29214,21097,14565.5,5235,1110,186.5
"2014","충청북도","계",1565580,62850.5,63438.5,50860.5,46579,28557.5,18021.5,12730,4319.5,825,147
"2014","충청남도","계",2041139,86619.5,87012.5,75870.5,73303.5,45061,28242.5,19894.5,6759,1388.5,200.5
"2014","전라북도","계",1860008,89110.5,86348.5,70312,69553.5,42289.5,27264,19007.5,6708,1321,227.5
"2014","전라남도","계",1893159.5,100788,106659.5,85644,83594.5,51063,32531.5,22178.5,8490,1579.5,283.5
"2014","경상북도","계",2682403,123713.5,130016,103788.5,99209.5,60362,38847.5,27507.5,9224.5,1823,292.5
"2014","경상남도","계",3321034.5,129744.5,121596,94259,91506.5,56994.5,34512,25300.5,7737.5,1270,204
"2014","제주특별자치도","계",596127.5,24348,21211,16583.5,17911,10550.5,7360.5,4192,2501,567.5,100
"2015","서울특별시","계",9907155,434168.5,338228.5,224632,204382.5,121159.5,83223,57813.5,20458.5,4253.5,697.5
"2015","부산광역시","계",3478811.5,176933.5,139423.5,95399,82827,51511,31316,23027.5,6911,1186.5,191
"2015","대구광역시","계",2471181.5,102973,85165,62458.5,55935.5,35624.5,20311,14769.5,4544,873.5,124
